law,mst,efyd,status,md,json,note
근로기준법,265959,20251023,ok,C:\Project\gpt_rules\Docs\hwpx\law_md\근로기준법.md,C:\Project\gpt_rules\Docs\hwpx\law_md\근로기준법.json,
남녀고용평등과 일·가정 양립 지원에 관한 법률,276851,20251001,ok,C:\Project\gpt_rules\Docs\hwpx\law_md\남녀고용평등과 일·가정 양립 지원에 관한 법률.md,C:\Project\gpt_rules\Docs\hwpx\law_md\남녀고용평등과 일·가정 양립 지원에 관한 법률.json,
산업안전보건법,276853,20251001,ok,C:\Project\gpt_rules\Docs\hwpx\law_md\산업안전보건법.md,C:\Project\gpt_rules\Docs\hwpx\law_md\산업안전보건법.json,
중대재해 처벌 등에 관한 법률,228817,20220127,ok,C:\Project\gpt_rules\Docs\hwpx\law_md\중대재해 처벌 등에 관한 법률.md,C:\Project\gpt_rules\Docs\hwpx\law_md\중대재해 처벌 등에 관한 법률.json,
지방자치단체를 당사자로 하는 계약에 관한 법률,253973,20240217,ok,C:\Project\gpt_rules\Docs\hwpx\law_md\지방자치단체를 당사자로 하는 계약에 관한 법률.md,C:\Project\gpt_rules\Docs\hwpx\law_md\지방자치단체를 당사자로 하는 계약에 관한 법률.json,
국가를 당사자로 하는 계약에 관한 법률,277151,20260102,ok,C:\Project\gpt_rules\Docs\hwpx\law_md\국가를 당사자로 하는 계약에 관한 법률.md,C:\Project\gpt_rules\Docs\hwpx\law_md\국가를 당사자로 하는 계약에 관한 법률.json,
건설산업기본법,273435,20251127,ok,C:\Project\gpt_rules\Docs\hwpx\law_md\건설산업기본법.md,C:\Project\gpt_rules\Docs\hwpx\law_md\건설산업기본법.json,
건설기술 진흥법,276921,20251001,ok,C:\Project\gpt_rules\Docs\hwpx\law_md\건설기술 진흥법.md,C:\Project\gpt_rules\Docs\hwpx\law_md\건설기술 진흥법.json,
건축법,273437,20260227,ok,C:\Project\gpt_rules\Docs\hwpx\law_md\건축법.md,C:\Project\gpt_rules\Docs\hwpx\law_md\건축법.json,
전기공사업법,271253,20251128,ok,C:\Project\gpt_rules\Docs\hwpx\law_md\전기공사업법.md,C:\Project\gpt_rules\Docs\hwpx\law_md\전기공사업법.json,
정보통신공사업법,268833,20260201,ok,C:\Project\gpt_rules\Docs\hwpx\law_md\정보통신공사업법.md,C:\Project\gpt_rules\Docs\hwpx\law_md\정보통신공사업법.json,
소방시설공사업법,259473,20250131,ok,C:\Project\gpt_rules\Docs\hwpx\law_md\소방시설공사업법.md,C:\Project\gpt_rules\Docs\hwpx\law_md\소방시설공사업법.json,
