"input","output","status","note"
"C:\Project\gpt_rules\Docs\hwpx\[1-1] 정관(2025.04.14.).hwp","C:\Project\gpt_rules\Docs\hwpx\[1-1] 정관(2025.04.14.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[2-1] 이사회 규정(2025.12.24.).hwp","C:\Project\gpt_rules\Docs\hwpx\[2-1] 이사회 규정(2025.12.24.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[2-10] 재무회계 규정(2022.9.26.).hwp","C:\Project\gpt_rules\Docs\hwpx\[2-10] 재무회계 규정(2022.9.26.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[2-11] 사업관리 규정(2003.3.20.).hwp","C:\Project\gpt_rules\Docs\hwpx\[2-11] 사업관리 규정(2003.3.20.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[2-12] 여비 규정(2023.12.21.).hwp","C:\Project\gpt_rules\Docs\hwpx\[2-12] 여비 규정(2023.12.21.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[2-13] 경영진 보수 및 직무청렴의무에 관한 규정(2025.12.24.).hwp","C:\Project\gpt_rules\Docs\hwpx\[2-13] 경영진 보수 및 직무청렴의무에 관한 규정(2025.12.24.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[2-14] 연구수당지급 규정(2024.12.20.).hwp","C:\Project\gpt_rules\Docs\hwpx\[2-14] 연구수당지급 규정(2024.12.20.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[2-15] 임금피크제 운영 규정(2025.10.24.).hwp","C:\Project\gpt_rules\Docs\hwpx\[2-15] 임금피크제 운영 규정(2025.10.24.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[2-16] 공무직 관리 규정(2025.06.26.).hwp","C:\Project\gpt_rules\Docs\hwpx\[2-16] 공무직 관리 규정(2025.06.26.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[2-17] 임직원숙소 관리운영 규정(2023.03.30.).hwp","C:\Project\gpt_rules\Docs\hwpx\[2-17] 임직원숙소 관리운영 규정(2023.03.30.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[2-18] 안전보건관리규정(2023.12.21).hwp","C:\Project\gpt_rules\Docs\hwpx\[2-18] 안전보건관리규정(2023.12.21).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[2-19] 기록물 관리 규정(2025.12.24.).hwp","C:\Project\gpt_rules\Docs\hwpx\[2-19] 기록물 관리 규정(2025.12.24.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[2-2] 원장추천위원회 규정(2024.04.24.).hwp","C:\Project\gpt_rules\Docs\hwpx\[2-2] 원장추천위원회 규정(2024.04.24.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[2-3] 감사 규정(2021.09.28.).hwp","C:\Project\gpt_rules\Docs\hwpx\[2-3] 감사 규정(2021.09.28.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[2-4] 인사 관리 규정(2025.10.24.).hwp","C:\Project\gpt_rules\Docs\hwpx\[2-4] 인사 관리 규정(2025.10.24.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[2-5] 직제 규정(2025.10.24.).hwp","C:\Project\gpt_rules\Docs\hwpx\[2-5] 직제 규정(2025.10.24.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[2-6] 운영위원회 규정(2022.9.26.).hwp","C:\Project\gpt_rules\Docs\hwpx\[2-6] 운영위원회 규정(2022.9.26.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[2-7] 규정관리 규정(2017.9.10.).hwp","C:\Project\gpt_rules\Docs\hwpx\[2-7] 규정관리 규정(2017.9.10.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[2-8] 문서 관리 규정(2025.12.24.).hwp","C:\Project\gpt_rules\Docs\hwpx\[2-8] 문서 관리 규정(2025.12.24.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[2-9] 공인관리 규정(2017.12.26.).hwp","C:\Project\gpt_rules\Docs\hwpx\[2-9] 공인관리 규정(2017.12.26.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-1] 재무회계 규칙(2025.11.24.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-1] 재무회계 규칙(2025.11.24.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-10] 위원회 수당 등 지급 규칙(2025.6.19.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-10] 위원회 수당 등 지급 규칙(2025.6.19.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-11] 법인차량 관리 규칙(2024.12.19.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-11] 법인차량 관리 규칙(2024.12.19.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-12] 경기테크노파크 시설관리규칙.hwp","C:\Project\gpt_rules\Docs\hwpx\[3-12] 경기테크노파크 시설관리규칙.hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-13] 직제 규칙(2026.1.20.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-13] 직제 규칙(2026.1.20.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-14] 공무국외출장 규칙(2025.9.12.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-14] 공무국외출장 규칙(2025.9.12.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-15] 정보공개 운영규칙(2022.6.8.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-15] 정보공개 운영규칙(2022.6.8.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-16] 상품권구매및관리규칙(2015.9.15.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-16] 상품권구매및관리규칙(2015.9.15.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-17] 법률소송 및 고문변호사운영규칙(2023.3.30.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-17] 법률소송 및 고문변호사운영규칙(2023.3.30.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-18] 취업규칙(2026.1.1.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-18] 취업규칙(2026.1.1.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-19] 명예퇴직수당등지급에관한규칙(2021.5.24.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-19] 명예퇴직수당등지급에관한규칙(2021.5.24.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-2] 위임전결 규칙(2025.11.24.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-2] 위임전결 규칙(2025.11.24.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-20] 전산보안관리 규칙(2017.2.7.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-20] 전산보안관리 규칙(2017.2.7.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-21] ASV공동직장어린이집 공동운영규칙(2026.1.1.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-21] ASV공동직장어린이집 공동운영규칙(2026.1.1.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-22] 경기테크노파크 경고 등 처분에 관한 규칙(2017.4.20.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-22] 경기테크노파크 경고 등 처분에 관한 규칙(2017.4.20.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-23] 중소기업 E-비즈니스 정보화지원사업 운영규칙(2017.8.24.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-23] 중소기업 E-비즈니스 정보화지원사업 운영규칙(2017.8.24.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-24] 노사협의회 운영규칙(2024.11.29.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-24] 노사협의회 운영규칙(2024.11.29.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-25] 공무직 근로자 관리규칙(2026.1.2.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-25] 공무직 근로자 관리규칙(2026.1.2.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-26] 각종 위원회 운영 규칙(2023.6.28).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-26] 각종 위원회 운영 규칙(2023.6.28).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-27] 인권경영 실행 규칙(2025.7.25.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-27] 인권경영 실행 규칙(2025.7.25.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-28] 휴게시설 관리규칙(2019.12.13.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-28] 휴게시설 관리규칙(2019.12.13.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-29] 성평등위원회 설치 및 운영 규칙(2020.3.26).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-29] 성평등위원회 설치 및 운영 규칙(2020.3.26).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-30] 윤리경영 시행규칙(2021.05.27.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-30] 윤리경영 시행규칙(2021.05.27.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-31] (재)경기테크노파크 임직원의 이해충돌 방지제도 운영규칙(2022.05.19.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-31] (재)경기테크노파크 임직원의 이해충돌 방지제도 운영규칙(2022.05.19.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-32] 청원심의회 설치 및 운영규칙(2024.01.24.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-32] 청원심의회 설치 및 운영규칙(2024.01.24.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-33] 임직원숙소 관리운영 규칙(2023. 4. 7.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-33] 임직원숙소 관리운영 규칙(2023. 4. 7.).hwpx","fail","exit_0"
"C:\Project\gpt_rules\Docs\hwpx\[3-34] 적극행정지원 규칙(2024.02.21.).hwp","C:\Project\gpt_rules\Docs\hwpx\[3-34] 적극행정지원 규칙(2024.02.21.).hwpx","fail","exit_0"
